SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.641910444,41,1,0.3156379,20833,11,0,3,0,0
1,1.641697878,54,1,0.420631747,2500,4,0,0,1,2
1,0.559139785,77,1,0.202570816,4200,2,1,0,0,0
1,0.9999999,47,0,0.730741541,4166,1,1,1,0,2
1,0.368373252,47,0,0.189824814,12500,12,0,0,0,0
1,0.570714643,55,0,0.022988506,2000,2,0,0,0,2
1,1.044090056,26,2,4.437810945,200,6,1,0,0,0
1,0.540641678,39,0,0.474250141,5300,14,0,1,0,2
1,0.954510762,45,1,184,NA,9,0,0,0,0
1,0.964143426,44,1,0.183980484,4918,6,0,0,1,1
1,0.799913761,55,0,0.685566225,6560,21,0,2,0,1
1,0.62501335,65,4,0.565614208,12161,20,1,1,1,1
1,0.01300294,56,0,10571,NA,15,0,3,0,0
1,0.9999999,73,0,0.390555299,6500,4,2,1,0,4
1,1.06723059,33,1,0.948346661,4626,18,3,1,5,0
1,0.145784132,60,3,0.225803839,12346,12,0,2,0,1
1,0.963780919,56,1,802,NA,9,0,0,0,0
1,0.797269342,48,0,0.584278156,3968,12,2,1,1,1
1,0.9999999,40,1,0.125968508,4000,2,0,0,0,0
1,0.9999999,41,1,0.565311889,4600,1,5,0,0,1
1,0.778911799,56,0,0.588584766,4712,15,0,1,0,2
1,0.841117655,48,1,0.59924812,2659,8,0,1,0,0
1,0.9999999,55,1,0.30097456,7900,2,0,1,1,2
1,0,71,1,0.141428991,3400,9,2,0,0,0
1,0.9999999,63,1,906,NA,1,1,1,0,0
1,0.9999999,56,0,0.511353147,5416,5,1,3,0,0
1,1.38538206,22,1,12,NA,1,0,0,0,NA
1,0.969206159,52,4,1.821305842,3200,13,1,2,1,0
1,0.925381459,48,2,0.410362365,6291,11,3,1,2,0
1,0.9999999,46,1,217,NA,1,0,0,0,0
1,0.625759266,46,1,738,NA,10,0,0,0,NA
1,1.279819471,61,4,921,NA,11,3,0,1,0
1,0.610778443,41,1,0.223667646,2382,4,0,0,2,3
1,0.9999999,26,0,0.053982006,3000,1,0,0,0,0
1,0.792801108,63,4,3.960044395,900,12,0,1,2,0
1,0.905118602,76,2,0.820790816,1567,8,0,2,0,0
1,1.353414697,49,0,471,NA,9,5,0,3,NA
1,0,77,0,0,5000,3,0,0,0,0
1,0.852603511,62,2,0.220524369,6216,9,0,0,1,2
1,1.081330513,48,0,0.636619718,8164,6,0,2,0,0
1,0.051439754,54,0,0.398415393,5300,7,0,1,0,0
1,0.069442399,59,0,0.139317854,9000,7,1,1,0,0
1,0.9999999,61,0,2134,NA,2,3,2,0,1
1,0.736716797,49,4,0.181509342,8241,5,0,0,1,1
1,0.066551922,53,2,0.586611606,4600,5,1,1,0,3
1,0.980089466,35,0,0.447496677,6770,13,0,2,0,1
1,0.990016639,51,2,0.085639687,3829,2,1,1,1,1
1,0.029985007,48,0,0.203399717,12000,4,0,1,1,0
1,0.033035763,40,1,0.263298227,7500,6,0,1,0,0
1,0.9999999,47,1,383,NA,1,0,0,0,0
1,0.9999999,31,2,0.203490847,2348,2,1,0,2,1
1,0.149804563,37,2,2329,NA,17,0,1,0,0
1,0,26,2,0,4000,1,0,0,0,0
1,0.97084771,62,5,9914,NA,10,0,2,0,0
1,1.359550562,55,3,0.300779459,2180,7,0,1,0,2
1,0.740432612,46,0,0.176342072,6407,6,1,0,0,3
1,0.536601294,47,0,0.168255843,11850,7,1,0,0,3
1,0.29162816,52,1,0.261820454,4800,7,0,1,0,0
1,0.600156591,40,0,0.687468797,6008,11,0,2,0,0
1,0.781020614,58,5,1.445030783,1136,5,0,1,2,3
1,0.389782263,66,0,0.294020754,6070,16,0,2,0,4
1,0.425339527,31,0,0.437331371,4076,9,0,1,0,0
1,0.378282844,68,2,0.592924891,7801,18,0,4,0,0
1,0,57,0,0.344001842,4342,3,1,1,0,1
1,0.085322005,50,0,3.562054208,700,21,0,1,2,0
1,0.801410106,49,1,0.071451154,3162,1,4,0,1,0
1,0.83006294,41,0,0.268514312,2200,8,2,0,0,0
1,0.01285073,65,0,0.680412371,3200,17,0,1,0,0
1,0.21954562,55,0,1.9093506,5250,18,0,6,0,0
1,0.465295572,57,0,0.604120793,12715,18,0,5,0,1
1,0.9999999,26,0,0.205897051,2000,3,3,0,0,0
1,0.88721738000000006,44,1,1.11555278,1600,12,0,0,0,0
1,0.812640019,35,0,1.815992731,2200,11,0,1,0,0
1,0,29,2,0.491868835,3750,4,1,0,1,0
1,0.814837033,60,0,5857,1,10,0,7,0,0
1,0.638961776,30,0,0.564647096,1600,10,0,0,0,0
1,0.830633873,32,0,0.029757619,4166,1,3,0,0,0
1,0,41,0,1.348703956,3664,7,0,3,0,0
1,1.157728707,46,0,0.341382182,1200,4,0,0,1,1
1,0.9999999,43,0,3759,NA,4,0,1,0,0
1,0.504983389,24,1,0.193370166,3800,5,0,0,0,0
1,0.9999999,35,0,179,NA,1,3,0,0,4
1,0.9999999,30,0,0.803884113,3140,1,0,1,1,0
1,0.581513568,74,2,0.634363718,8863,17,0,4,1,1
1,1.19760479,49,0,1021,NA,2,3,1,0,0
1,0.175832024,41,2,0.147885857,4800,3,3,0,0,4
1,1.90443093,49,3,548,NA,5,2,0,2,0
1,0.619251642,28,0,1.672363391,4446,12,0,5,0,0
1,1.050437934,45,3,0.90802044,4500,6,0,1,4,2
1,0.924839097,40,6,0.659425912,7733,24,1,4,2,2
1,0.816367265,36,0,0.277044855,7200,5,0,1,0,0
1,0.683804627,49,5,2.281025641,2924,9,0,3,2,0
1,0.605260787,59,7,1.040497009,4345,7,0,1,0,2
1,0.026134003,77,0,0.148528992,3500,9,0,1,0,0
1,0.92979667,33,0,0.205322013,9657,9,0,1,0,2
1,0.252603351,49,0,0.454280358,4800,16,0,2,0,2
1,0.846212995,33,1,0.111351092,4166,5,0,0,0,0
1,0.771448514,33,0,0.266546691,5000,9,0,0,0,0
1,1.146596859,22,0,0.099785408,1863,6,1,0,0,0
1,0.992187915,60,5,3466,NA,18,0,2,1,0
1,0.72745825,44,3,0.778059428,7100,8,0,1,1,3
1,0.796673247,43,1,0.642470282,14216,11,0,4,0,2
1,1.132116471,43,0,0.031643336,8500,5,0,0,0,2
1,0,39,0,0.232806555,6833,9,0,1,0,1
1,0.306322258,32,0,0.550387597,2708,10,0,1,0,0
1,0.973005399,42,2,0.224948406,4360,7,0,0,3,2
1,0.645177411,26,0,0.168842472,2297,2,0,0,0,0
1,0.32720681,59,1,4.799674267,1841,20,0,5,0,0
1,0.958178654,56,0,0.349662584,4000,9,0,0,0,1
1,0.9999999,53,2,0.001818549,4948,1,3,0,0,0
1,0.927349478,24,0,0.405240707,1640,6,0,0,0,0
1,0.857142857,41,0,57,NA,1,2,0,0,0
1,1.362047441,31,2,0.619764398,4583,7,2,2,1,3
1,0.949346841,25,0,0.062316285,1700,1,0,0,0,0
1,1.015936255,31,0,0.016351119,2323,4,0,0,0,3
1,0.989600416,62,4,1.247322066,4200,8,0,1,0,0
1,0.878245498,40,0,0.18141723,3400,5,0,0,0,1
1,0.851882962,46,1,0.378373889,12040,13,0,2,0,1
1,0.909331568,22,0,0.212524983,1500,4,0,0,0,0
